,code,lat,lon,name,city,state,country,woeid,tz,phone,type,email,url,runway_length,elev,icao,direct_flights,carriers
130,ANC,61.1767,-149.961,Anchorage International Airport,Anchorage,Alaska,United States,12518613,America/Anchorage,(907) 266-2526,Airports,BLANK,http://www.dot.state.ak.us/anc/index.shtml,10897.0,144.0,PANC,62,47
131,ANE,47.5603,-0.312222,Aéroport d'Angers-Marcé,Seiches-sur-le-Loir,Pays de la Loire,France,22868196,Europe/Paris,0,Airports,BLANK,BLANK,4052.0,184.0,LFRA,1,1
132,ANF,-23.44,-70.4419,Cerro Moreno International Airport,Antofagasta,Antofagasta,Chile,12512312,America/Santiago,0,Airports,BLANK,BLANK,8527.0,460.0,SCFA,7,5
133,ANG,45.7274,0.21835,Brie Champniers Airport,Champniers,Poitou-Charentes,France,12512864,Europe/Paris,0,Airports,BLANK,BLANK,2723.0,289.0,LFBU,1,1
134,ANI,61.5742,-159.535,Aniak Airport,Bethel,Alaska,United States,12524558,America/Anchorage,0,Airports,BLANK,BLANK,6000.0,88.0,PANI,6,8
135,ANM,-18.7772,46.8543,Madagascar,Antalaha,,Madagascar,23424883,Indian/Antananarivo,0,Airports,BLANK,BLANK,3914.0,20.0,FMNH,3,1
136,ANR,51.1896,4.45236,Deurne Airport,Antwerp,Antwerp,Belgium,22028955,Europe/Brussels,0,Airports,BLANK,BLANK,4839.0,39.0,EBAW,3,2
137,ANU,17.1375,-61.79,V C Bird International Airport,Carlisle,Saint George,Antigua and Barbuda,12510300,America/Antigua,0,Airports,BLANK,BLANK,9000.0,62.0,TAPA,28,14
138,ANV,62.65,-160.217,Anvik Airport,Anvik,Alaska,United States,12524559,America/Nome,0,Airports,BLANK,BLANK,2880.0,325.0,PANV,2,3
139,ANX,69.3088,16.1236,Andoya Airport,Andenes,Nordland Fylke,Norway,12515100,Europe/Oslo,0,Airports,BLANK,BLANK,8005.0,46.0,ENAN,4,1
140,AOC,50.9794,12.5111,Altenburg Nobitz,Altenburg,Thuringia,Germany,12597007,Europe/Berlin,0,Airports,BLANK,http://www.flughafen-altenburg.de,2235.0,641.0,EDAC,2,1
141,AOE,39.7905,30.5172,Anadolu University Airport,Eskişehir,Eskişehir,Turkey,12523341,Europe/Istanbul,0,Airports,BLANK,BLANK,,,BLANK,2,2
142,AOI,43.6158,13.3634,Falconara Airport,Falconara Marittima,Marche,Italy,12513819,Europe/Rome,0,Airports,BLANK,http://www.ancona-airport.com,9810.0,50.0,LIPY,12,16
143,AOJ,40.7357,140.69,Aomori Airport,Aomori-shi,Aomori Prefecture,Japan,12523065,Asia/Tokyo,0,Airports,BLANK,BLANK,4590.0,662.0,RJSA,6,3
144,AOK,35.4239,27.1472,Karpathos Airport,Karpathos,Notio Aigaio,Greece,12513293,Europe/Athens,0,Airports,BLANK,BLANK,6890.0,23.0,LGKP,6,3
145,AOO,40.2952,-78.324,Altoona-Blair County Airport,Martinsburg,Pennsylvania,United States,12518593,America/New_York,0,Airports,BLANK,BLANK,5466.0,1504.0,KAOO,2,1
146,AOR,6.1947,100.404,Sultan Abdul Halim Airport,Kepala Batas,Kedah,Malaysia,12515009,Asia/Kuala_Lumpur,0,Airports,BLANK,BLANK,6600.0,15.0,WMKA,1,2
147,AOS,57.4672,-153.839,Amook Bay Seaplane Base,Amook,Alaska,United States,12524560,America/Anchorage,0,Airports,BLANK,BLANK,,,BLANK,2,1
148,APA,39.5752,-104.845,Centennial Airport,Englewood,Colorado,United States,12519112,America/Denver,0,Other Airport,BLANK,BLANK,10002.0,5883.0,KAPA,0,0
149,APF,26.1483,-81.7745,Naples Municipal Airport,Naples,Florida,United States,12521078,America/New_York,0,Airports,BLANK,BLANK,5000.0,9.0,KAPF,2,1
